El siguiente dataset contiene información sobre las calorías quemadas por un conjunto de 685 individuos								
en función de la actividad física realizada, su duración y la distancia recorrida.								
								
VARIABLES:								
id: número identificatorio del individuo								
duracion: tiempo en minutos dedicado a la actividad								
distancia: distancia recorrida durante la actividad en km								
actividad: el tipo de actividad física realizada por el individuo, que puede ser "caminar", "trotar" o "correr"								
calorias quemadas: cantidad estimada de calorías quemadas durante la actividad				
				
id	duracion_min	distancia_km	actividad	calorias quemadas
97	1,39	8,3	trotar	260,8
98	21,44	2,0	caminar	233,3
99	15,42	6,0	caminar	287,0
100	1,57	5,4	correr	283,2
101	20,11	3,2	caminar	238,4
102	7,10	2,7	trotar	245,9
103	17,82	6,0	trotar	278,0
104	11,83	5,9	trotar	274,6
105	0,79	8,6	caminar	241,5
106	4,19	3,9	trotar	253,5
107	4,46	3,7	trotar	243,7
108	3,73	5,3	correr	275,4
109	19,82	6,7	trotar	272,0
110	3,08	1,7	caminar	227,6
111	4,06	2,7	caminar	212,3
112	20,20	1,7	caminar	261,8
113	9,77	4,0	trotar	290,9
114	7,84	2,2	caminar	220,5
115	11,77	9,3	caminar	238,0
116	1,67	3,4	caminar	231,3
117	19,42	3,2	caminar	266,1
118	13,54	4,5	trotar	256,6
119	7,02	4,4	caminar	248,4
120	5,96	7,7	correr	284,9
121	14,04	4,9	trotar	255,1
122	16,28	4,4	trotar	266,9
123	3,26	7,8	trotar	278,7
124	5,51	7,7	correr	282,6
125	18,99	4,7	trotar	294,9
126	10,88	7,0	correr	268,1
127	2,54	3,9	trotar	265,1
128	18,91	2,5	correr	277,5
129	11,16	5,0	trotar	286,1
130	7,83	3,3	correr	262,9
131	15,49	7,4	caminar	241,3
132	11,86	8,7	caminar	246,3
133	1,94	4,7	trotar	245,8
134	17,49	5,9	caminar	272,9
135	9,93	6,6	trotar	262,7
136	22,83	4,6	caminar	263,6
137	1,43	3,6	correr	246,3
138	13,65	2,7	caminar	212,5
139	7,88	6,4	trotar	243,7
140	16,25	6,9	correr	282,5
141	19,31	4,0	trotar	244,7
142	14,87	5,4	correr	271,9
143	9,91	5,1	trotar	267,6
144	0,89	6,2	caminar	268,3
145	19,15	7,3	trotar	304,6
146	17,94	8,0	trotar	290,4
147	3,21	5,4	caminar	225,3
148	19,91	8,3	caminar	274,8
149	10,99	2,2	caminar	215,8
150	9,76	7,9	correr	280,1
151	5,29	4,5	trotar	257,5
152	10,05	5,8	caminar	220,4
153	16,62	9,1	trotar	265,0
154	10,16	1,2	correr	253,2
155	17,25	5,3	caminar	256,5
156	20,81	3,6	caminar	262,1
157	0,44	7,8	correr	271,9
158	3,59	7,2	caminar	250,3
159	13,87	4,3	caminar	268,0
160	14,36	5,5	trotar	263,3
161	18,51	4,9	caminar	272,4
162	15,88	7,4	caminar	277,4
163	7,53	5,7	correr	272,1
164	8,55	3,7	caminar	216,5
165	16,09	2,0	correr	278,3
166	2,07	5,4	trotar	270,3
167	20,97	8,0	caminar	273,7
168	17,05	3,2	caminar	242,4
169	10,06	6,7	caminar	249,4
170	4,84	1,6	caminar	232,8
171	15,90	8,8	caminar	248,8
172	17,43	9,0	trotar	294,0
173	21,53	7,2	caminar	295,9
174	14,59	1,6	caminar	215,0
175	8,90	2,5	caminar	199,8
176	14,25	7,5	trotar	253,1
177	9,89	6,7	caminar	261,4
178	13,84	6,1	caminar	223,5
179	2,32	3,5	correr	254,6
180	13,66	4,6	trotar	278,1
181	6,50	7,2	caminar	250,9
182	16,44	8,5	correr	288,5
183	21,70	5,8	correr	302,4
184	12,56	5,6	trotar	288,0
185	10,90	6,8	correr	254,0
186	10,16	6,7	trotar	267,0
187	20,98	4,9	trotar	267,4
188	15,31	6,3	caminar	286,9
189	12,51	1,5	trotar	234,5
190	10,24	4,9	caminar	246,8
191	22,17	1,9	trotar	260,4
192	22,62	5,6	trotar	299,5
193	12,61	2,9	correr	242,6
194	9,25	7,0	caminar	244,9
195	15,35	3,9	caminar	262,8
196	11,35	2,4	caminar	209,5
197	13,99	6,4	trotar	259,4
198	13,44	7,0	correr	267,5
199	10,13	3,5	caminar	224,4
200	5,44	1,3	trotar	249,4
201	13,19	4,9	trotar	243,8
202	13,01	5,6	caminar	248,1
203	7,12	8,7	caminar	234,5
204	23,34	2,5	correr	279,7
205	4,96	4,0	caminar	202,8
206	22,81	6,2	trotar	275,4
207	8,59	4,6	correr	255,6
208	19,14	1,4	trotar	254,4
209	18,17	1,0	trotar	234,5
210	20,32	2,7	trotar	270,5
211	12,05	8,2	correr	286,2
212	6,65	4,7	caminar	261,9
213	6,53	8,5	trotar	262,8
214	21,70	5,3	caminar	265,9
215	20,06	8,0	trotar	282,8
216	19,60	7,8	caminar	266,7
217	19,22	8,5	trotar	295,3
218	18,91	3,6	caminar	209,7
219	20,52	6,2	trotar	298,7
220	22,55	5,3	caminar	260,1
221	16,29	0,9	trotar	230,1
222	8,79	8,0	caminar	247,2
223	14,89	8,9	caminar	243,5
224	18,84	0,5	caminar	242,8
225	15,72	1,0	caminar	252,9
226	4,00	6,6	trotar	281,0
227	8,37	5,8	caminar	247,3
228	12,24	1,6	trotar	255,1
229	17,05	6,1	correr	270,1
230	21,51	4,2	trotar	267,8
231	3,85	5,6	trotar	273,2
232	2,78	5,4	trotar	262,7
233	9,73	4,0	trotar	269,9
234	6,48	6,1	trotar	253,3
235	23,12	6,2	caminar	267,0
236	16,96	9,0	correr	282,4
237	7,07	8,2	caminar	229,7
238	18,42	6,0	caminar	266,9
239	1,08	7,0	trotar	257,2
240	16,60	8,4	caminar	281,5
241	17,09	2,1	trotar	262,8
242	12,32	6,1	caminar	256,4
243	13,30	5,5	trotar	267,1
244	18,15	4,8	caminar	262,9
245	17,30	5,5	trotar	274,1
246	4,60	3,2	caminar	219,4
247	1,52	4,7	caminar	230,5
248	17,15	4,2	trotar	270,3
249	12,01	2,3	correr	269,8
250	15,40	8,0	caminar	262,9
251	21,29	8,9	correr	317,5
252	15,92	6,8	caminar	266,9
253	14,88	2,1	caminar	206,5
254	15,99	5,0	caminar	256,2
255	5,92	0,5	trotar	252,9
256	20,98	8,5	caminar	252,5
257	4,74	0,9	caminar	210,1
258	18,29	5,6	trotar	276,2
259	21,35	6,8	trotar	310,1
260	2,10	6,5	caminar	253,4
261	3,91	3,5	trotar	218,0
262	15,96	1,4	correr	283,0
263	5,18	5,1	caminar	257,9
264	11,98	8,4	trotar	269,8
265	5,28	8,1	caminar	226,0
266	9,75	2,2	correr	249,6
267	18,31	5,6	trotar	300,3
268	14,42	3,1	caminar	206,5
269	5,07	7,7	correr	295,8
270	13,55	6,8	trotar	276,6
271	5,04	7,0	caminar	269,0
272	19,53	2,0	trotar	283,7
273	15,23	3,2	correr	256,4
274	5,44	8,2	caminar	268,2
275	19,72	7,5	trotar	297,0
276	9,62	4,5	trotar	277,2
277	19,42	1,5	trotar	265,3
278	16,84	8,8	correr	311,0
279	21,32	2,3	trotar	247,2
280	14,45	6,9	caminar	248,0
281	8,26	5,1	trotar	290,8
282	8,11	2,6	correr	240,7
283	8,93	6,6	trotar	248,3
284	11,75	9,8	caminar	265,9
285	19,67	6,6	correr	293,8
286	2,06	7,0	trotar	281,6
287	4,16	6,6	caminar	251,5
288	14,88	6,0	caminar	266,9
289	8,29	2,7	trotar	255,1
290	13,53	6,1	trotar	248,3
291	21,15	2,1	correr	269,8
292	11,52	6,0	trotar	263,8
293	10,18	7,4	trotar	274,7
294	15,29	2,3	caminar	232,5
295	5,09	6,3	correr	262,1
296	12,57	1,7	trotar	242,7
297	10,40	1,9	trotar	247,2
298	6,57	7,5	trotar	259,9
299	16,38	0,8	caminar	249,1
300	19,85	7,3	trotar	283,2
301	22,93	5,0	trotar	303,9
302	22,10	6,2	correr	298,0
303	14,78	4,1	caminar	220,1
304	15,83	7,0	trotar	282,2
305	9,64	6,4	trotar	263,8
306	1,85	1,5	caminar	230,7
307	17,93	6,2	correr	283,3
308	21,40	2,9	trotar	260,1
309	16,85	2,3	trotar	248,7
310	19,54	7,4	caminar	260,7
311	18,13	5,5	caminar	260,2
312	22,04	2,7	trotar	247,2
313	10,84	0,9	trotar	214,9
314	21,86	0,8	correr	259,0
315	2,97	4,8	correr	262,4
316	20,70	5,2	caminar	278,1
317	20,24	2,1	trotar	254,3
318	5,53	2,4	caminar	200,6
319	21,84	7,2	trotar	289,0
320	20,35	2,6	caminar	244,0
321	19,09	1,9	trotar	255,4
322	15,44	1,5	trotar	253,5
323	23,36	4,1	correr	282,7
324	11,90	1,4	caminar	209,1
325	9,67	7,9	caminar	225,7
326	20,32	2,1	caminar	215,5
327	15,63	5,4	trotar	276,2
328	15,50	2,2	correr	262,6
329	5,52	3,4	trotar	250,2
330	4,86	6,1	correr	289,9
331	2,62	6,3	trotar	263,0
332	21,06	4,4	trotar	250,0
333	15,84	7,1	trotar	301,6
334	11,35	2,9	correr	270,7
335	12,85	5,6	caminar	235,5
336	16,27	6,5	trotar	275,9
337	9,96	5,3	caminar	270,8
338	12,90	8,6	trotar	263,1
339	20,58	5,2	caminar	270,8
340	16,27	7,6	correr	313,1
341	15,85	5,9	caminar	264,2
342	16,38	6,0	correr	292,6
343	7,75	4,4	trotar	244,6
344	20,08	8,4	caminar	287,4
345	13,71	5,6	correr	262,7
346	19,01	3,0	caminar	257,7
347	5,97	7,9	caminar	238,5
348	5,65	8,6	caminar	249,5
349	7,74	6,5	trotar	275,3
350	5,41	8,2	correr	285,7
351	2,43	3,5	correr	252,4
352	8,08	6,4	trotar	259,1
353	2,36	2,1	trotar	232,5
354	18,63	8,5	trotar	281,3
355	9,27	3,2	trotar	242,0
356	22,48	3,1	correr	234,8
357	13,56	7,0	trotar	234,0
358	11,07	5,3	correr	267,3
359	10,89	6,0	correr	267,1
360	11,71	6,4	caminar	258,2
361	5,85	8,5	trotar	259,8
362	13,90	7,7	caminar	234,0
363	21,24	2,9	caminar	206,8
364	19,37	1,4	caminar	254,0
365	8,36	3,9	correr	256,4
366	8,17	6,1	caminar	248,9
367	15,69	9,0	trotar	278,0
368	3,07	7,5	caminar	260,3
369	11,39	8,3	caminar	256,8
370	15,41	1,7	correr	264,0
371	21,15	7,0	trotar	258,0
372	22,47	2,4	trotar	275,3
373	14,20	7,5	caminar	235,7
374	12,19	8,0	trotar	274,0
375	9,25	9,3	trotar	265,0
376	21,61	5,6	correr	303,1
377	13,82	4,2	caminar	238,1
378	15,59	2,7	correr	277,2
379	9,32	7,4	trotar	252,5
380	2,11	3,0	correr	275,9
381	10,46	5,4	caminar	251,9
382	9,07	3,9	caminar	240,5
383	3,51	4,9	trotar	247,0
384	3,11	4,0	trotar	275,5
385	3,16	1,8	caminar	211,5
386	7,11	4,7	correr	269,2
387	19,18	5,4	caminar	275,3
388	6,18	1,5	caminar	219,9
389	19,72	7,7	caminar	246,3
390	1,94	7,3	correr	253,7
391	22,10	6,1	trotar	302,2
392	4,25	3,5	trotar	239,5
393	17,51	4,7	caminar	276,7
394	14,74	5,4	correr	272,6
395	22,02	5,7	caminar	295,2
396	11,22	3,8	trotar	241,1
397	14,44	5,2	correr	280,5
398	22,09	6,9	caminar	266,3
399	8,18	5,2	caminar	232,6
400	16,05	3,4	trotar	277,5
401	6,78	3,3	caminar	230,8
402	22,46	5,7	correr	301,0
403	7,58	6,5	caminar	232,5
404	2,54	7,7	caminar	241,2
405	4,62	4,3	caminar	234,0
406	20,68	5,1	caminar	259,3
407	10,25	7,3	caminar	213,6
408	12,05	4,0	trotar	265,0
409	12,13	1,1	trotar	244,1
410	14,70	8,2	caminar	240,0
411	16,48	5,8	correr	299,4
412	15,12	3,4	trotar	277,7
413	20,35	3,7	trotar	262,0
414	22,91	7,7	correr	296,7
415	4,88	8,0	caminar	249,0
416	15,49	5,9	correr	310,4
417	20,35	1,3	correr	265,7
418	11,68	7,7	trotar	258,6
419	10,76	1,7	correr	266,5
420	5,80	3,0	caminar	221,4
421	21,80	6,3	caminar	269,2
422	2,36	6,7	trotar	250,3
423	6,79	8,5	trotar	278,5
424	13,80	2,4	caminar	249,0
425	18,72	0,7	caminar	227,3
426	14,14	5,8	correr	279,5
427	22,28	6,1	caminar	251,0
428	5,13	2,0	caminar	218,4
429	14,25	7,6	caminar	246,2
430	3,50	5,4	caminar	237,6
431	3,66	0,3	trotar	232,0
432	19,27	2,2	caminar	247,5
433	3,19	7,7	caminar	229,1
434	10,36	7,6	trotar	255,2
435	22,37	7,1	trotar	290,2
436	17,13	3,7	caminar	260,6
437	6,82	2,5	trotar	253,2
438	17,49	2,2	trotar	250,0
439	9,01	5,8	trotar	288,6
440	12,50	3,9	caminar	257,0
441	22,70	4,4	caminar	274,0
442	21,76	5,1	trotar	257,5
443	11,85	1,5	caminar	206,3
444	9,72	4,5	correr	278,0
445	18,33	6,2	caminar	257,6
446	7,89	4,9	caminar	231,4
447	19,34	6,9	caminar	286,8
448	21,47	5,2	caminar	258,9
449	21,61	4,5	caminar	274,7
450	6,19	4,5	caminar	221,1
451	21,58	4,2	trotar	248,5
452	2,98	8,7	trotar	258,5
453	16,32	4,8	correr	283,9
454	6,20	3,3	trotar	224,1
455	17,45	6,5	caminar	284,0
456	3,23	5,5	trotar	278,5
457	15,87	5,7	trotar	282,1
458	4,58	6,7	caminar	258,3
459	19,90	4,9	trotar	298,2
460	9,70	2,2	trotar	228,5
461	19,00	1,5	caminar	251,8
462	23,40	4,2	correr	293,1
463	6,89	6,7	correr	266,2
464	22,17	3,8	caminar	238,6
465	4,77	8,5	trotar	264,0
466	3,53	5,7	caminar	254,1
467	15,43	3,1	trotar	269,8
468	7,71	4,4	trotar	254,1
469	12,79	8,7	caminar	245,8
470	10,09	3,6	trotar	227,2
471	6,81	6,1	correr	265,9
472	19,25	4,0	caminar	297,3
473	17,13	2,8	caminar	254,5
474	7,19	1,0	caminar	233,3
475	21,01	6,7	caminar	256,3
476	17,02	4,1	correr	267,6
477	14,68	7,8	caminar	262,3
478	15,13	7,1	caminar	256,8
479	14,00	7,9	trotar	254,1
480	6,64	2,5	trotar	240,8
481	0,22	6,6	correr	279,7
482	10,36	6,6	trotar	248,2
483	5,97	6,0	caminar	268,4
484	6,10	5,0	caminar	267,8
485	17,81	5,2	correr	289,7
486	10,00	2,7	correr	244,9
487	13,36	3,9	caminar	241,6
488	17,00	5,5	caminar	267,3
489	22,35	5,4	correr	285,1
490	20,90	6,9	trotar	260,3
491	11,11	7,2	caminar	216,3
492	1,64	5,6	correr	263,5
493	1,67	2,8	trotar	251,9
494	13,79	7,2	trotar	274,1
495	18,52	7,3	trotar	274,6
496	17,13	4,6	caminar	236,5
497	8,17	7,2	correr	264,7
498	21,73	6,4	trotar	327,2
499	9,69	6,4	correr	308,9
500	15,97	2,6	correr	292,8
501	17,83	8,4	caminar	225,4
502	19,37	2,8	trotar	287,5
503	12,72	5,7	correr	251,7
504	16,37	3,1	trotar	229,6
505	10,27	4,0	trotar	231,6
506	3,87	6,4	trotar	273,4
507	4,94	1,8	trotar	234,9
508	17,28	6,6	caminar	226,3
509	12,72	6,8	caminar	268,4
510	18,47	7,1	caminar	283,1
511	23,49	1,1	trotar	271,6
512	21,32	1,2	correr	250,7
513	14,76	5,3	trotar	280,1
514	10,77	2,5	caminar	249,3
515	10,18	7,0	correr	286,7
516	11,12	7,7	correr	292,8
517	16,01	4,1	caminar	237,8
518	17,80	7,3	caminar	270,4
519	12,88	6,7	correr	285,6
520	15,78	4,8	caminar	261,8
521	16,31	5,6	trotar	300,9
522	17,96	6,8	trotar	282,1
523	21,92	6,9	trotar	303,2
524	9,88	6,5	caminar	233,9
525	12,71	7,0	trotar	262,3
526	15,31	4,2	correr	312,3
527	9,15	3,8	trotar	250,1
528	9,91	1,3	correr	252,7
529	5,86	3,1	trotar	242,8
530	17,16	5,4	trotar	313,8
531	14,33	5,2	caminar	226,3
532	19,07	4,7	correr	287,5
533	21,03	7,1	correr	312,7
534	14,48	7,3	trotar	263,5
535	15,77	7,3	caminar	246,6
536	19,59	5,6	caminar	264,0
537	4,76	4,3	caminar	253,0
538	19,93	7,4	caminar	256,4
539	21,40	5,8	correr	274,5
540	15,39	2,2	caminar	235,3
541	21,59	8,2	trotar	292,4
542	7,92	6,6	correr	296,4
543	9,22	8,4	caminar	254,2
544	8,91	6,3	trotar	274,2
545	21,77	7,3	trotar	288,5
546	14,50	5,4	correr	255,4
547	6,85	3,8	correr	252,5
548	5,31	5,1	correr	276,7
549	17,88	7,2	correr	291,8
550	17,69	6,0	correr	301,7
551	14,29	6,4	correr	278,4
552	18,37	6,1	correr	285,3
553	4,87	5,1	trotar	300,7
554	6,89	4,5	caminar	240,7
555	22,58	7,5	trotar	285,2
556	10,03	6,8	trotar	282,6
557	17,34	1,0	correr	305,9
558	19,78	4,5	caminar	264,2
559	3,75	8,5	caminar	220,8
560	13,37	5,5	caminar	234,8
561	17,51	8,6	trotar	276,3
562	11,56	1,6	caminar	224,9
563	6,22	4,5	caminar	228,2
564	9,90	4,8	trotar	249,5
565	7,42	4,4	correr	265,3
566	12,85	4,9	trotar	268,3
567	16,39	7,1	correr	287,3
568	3,63	8,3	caminar	231,3
569	8,17	4,0	correr	289,8
570	9,56	1,2	caminar	197,0
571	3,17	5,4	trotar	245,4
572	15,80	1,1	correr	265,2
573	9,41	6,0	trotar	242,1
574	10,37	5,2	correr	290,8
575	11,90	2,1	trotar	247,0
576	16,85	2,4	trotar	243,5
577	20,89	4,0	trotar	258,9
578	14,68	2,6	caminar	253,5
579	10,03	8,6	correr	268,6
580	16,95	5,4	caminar	251,6
581	18,17	7,6	correr	285,3
582	20,88	7,8	caminar	284,3
583	17,19	5,4	caminar	254,7
584	7,76	3,2	caminar	220,5
585	21,83	5,9	caminar	284,4
586	1,64	4,1	caminar	215,8
587	14,09	7,0	correr	249,3
588	17,34	5,7	correr	338,1
589	20,37	8,4	trotar	306,8
590	19,31	4,4	correr	266,7
591	5,20	6,9	trotar	273,8
592	17,15	5,4	trotar	271,1
593	17,02	7,9	correr	269,9
594	17,85	2,4	caminar	231,2
595	9,35	1,4	correr	258,5
596	7,40	7,4	caminar	257,1
597	23,23	5,4	trotar	300,9
598	6,04	2,9	caminar	226,1
599	5,18	7,8	trotar	266,9
600	22,49	5,1	correr	309,8
601	19,73	7,6	correr	308,8
602	3,59	6,2	trotar	271,6
603	8,41	6,6	trotar	266,6
604	4,32	4,9	caminar	245,9
605	3,93	4,5	caminar	227,6
606	22,65	6,0	caminar	278,0
607	4,69	8,4	caminar	252,5
608	19,03	2,3	trotar	268,7
609	11,22	7,4	trotar	255,4
610	3,16	2,1	trotar	257,7
611	13,56	5,0	caminar	248,9
612	6,15	4,3	caminar	228,4
613	1,02	6,2	trotar	266,9
614	6,97	5,9	caminar	232,8
615	13,40	8,3	trotar	241,5
616	7,64	4,4	caminar	241,6
617	17,22	3,2	caminar	218,4
618	1,65	4,0	trotar	256,9
619	20,76	5,5	caminar	262,0
620	13,89	4,4	caminar	242,2
621	17,22	5,7	caminar	280,3
622	11,51	2,5	trotar	253,9
623	5,00	5,9	caminar	245,9
624	19,26	5,6	trotar	287,0
625	7,80	7,1	trotar	272,0
626	10,94	4,1	correr	263,4
627	22,14	2,6	caminar	250,2
628	13,86	8,4	correr	286,2
629	20,36	3,4	trotar	254,2
630	18,24	8,0	trotar	284,5
631	2,71	2,4	caminar	196,2
632	11,13	2,2	caminar	232,6
633	19,20	7,2	trotar	288,3
634	20,30	6,2	caminar	262,1
635	16,92	6,5	caminar	246,2
636	5,83	7,4	caminar	216,3
637	17,50	6,8	caminar	244,3
638	18,14	6,1	caminar	281,9
639	18,73	4,0	correr	293,1
640	2,73	5,9	caminar	220,9
641	19,95	8,4	correr	305,1
642	18,84	4,4	caminar	270,2
643	20,70	5,3	trotar	276,8
644	9,77	4,1	trotar	262,6
645	8,76	7,9	trotar	254,5
646	5,93	4,6	trotar	258,4
647	17,23	7,9	caminar	280,3
648	8,57	8,6	caminar	227,1
649	5,05	2,7	caminar	189,6
650	7,09	7,2	trotar	259,6
651	7,79	1,9	caminar	228,4
652	19,40	5,7	trotar	295,9
653	20,86	6,4	correr	290,8
654	15,44	3,0	caminar	237,1
655	13,45	4,6	trotar	258,3
656	13,59	4,2	trotar	275,6
657	21,74	6,7	caminar	247,2
658	2,43	4,5	trotar	238,2
659	2,13	4,3	trotar	267,8
660	4,26	3,6	trotar	237,5
661	11,10	5,5	correr	285,4
662	5,53	4,9	caminar	263,0
663	2,20	7,1	trotar	271,7
664	19,12	4,1	correr	276,3
665	15,26	6,1	trotar	306,7
666	19,95	8,2	caminar	293,8
667	14,32	1,7	correr	268,2
668	17,77	2,9	trotar	266,0
669	8,93	7,8	correr	244,0
670	20,49	5,2	trotar	269,0
671	7,08	5,6	caminar	262,6
672	4,25	5,4	caminar	267,6
673	11,93	7,9	trotar	239,4
674	5,70	6,2	correr	272,8
675	12,24	8,1	correr	263,1
676	4,58	5,7	trotar	250,8
677	9,32	1,7	caminar	196,4
678	14,39	6,3	caminar	269,9
679	14,48	4,3	caminar	209,7
680	17,36	2,1	correr	280,3
681	17,35	4,9	correr	306,2
682	10,36	6,3	trotar	259,6
683	1,52	7,2	trotar	278,2
684	2,58	6,9	caminar	245,0
685	19,28	8,0	correr	297,0
